"Дата","Втрати гелікоптерів армії рф","дельта"
2022-02-27,26,26
2022-02-28,29,3
2022-03-01,29,0
2022-03-02,31,2
2022-03-03,31,0
2022-03-04,37,6
2022-03-05,40,3
2022-03-06,48,8
2022-03-07,68,20
2022-03-08,80,12
2022-03-09,81,1
2022-03-10,81,0
2022-03-11,83,2
2022-03-12,83,0
2022-03-13,86,3
2022-03-14,90,4
2022-03-15,95,5
2022-03-16,108,13
2022-03-17,108,0
2022-03-18,112,4
2022-03-19,115,3
2022-03-20,118,3
2022-03-21,121,3
2022-03-22,123,2
2022-03-23,124,1
2022-03-24,124,0
2022-03-25,125,1
2022-03-26,127,2
2022-03-27,127,0
2022-03-28,127,0
2022-03-29,129,2
2022-03-30,131,2
2022-03-31,131,0
2022-04-01,131,0
2022-04-02,134,3
2022-04-03,134,0
2022-04-04,134,0
2022-04-05,134,0
2022-04-06,135,1
2022-04-07,135,0
2022-04-08,135,0
2022-04-09,136,1
2022-04-10,137,1
2022-04-11,137,0
2022-04-12,140,3
2022-04-13,143,3
2022-04-14,144,1
2022-04-15,144,0
2022-04-16,145,1
2022-04-17,146,1
2022-04-18,147,1
2022-04-19,150,3
2022-04-20,150,0
2022-04-21,151,1
2022-04-22,153,2
2022-04-23,154,1
2022-04-24,154,0
2022-04-25,154,0
2022-04-26,154,0
2022-04-27,155,1
2022-04-28,155,0
2022-04-29,155,0
2022-04-30,155,0
2022-05-01,155,0
2022-05-02,155,0
2022-05-03,155,0
2022-05-04,155,0
2022-05-05,155,0
2022-05-06,155,0
2022-05-07,155,0
2022-05-08,156,1
2022-05-09,158,2
2022-05-10,158,0
2022-05-11,160,2
2022-05-12,161,1
2022-05-13,162,1
2022-05-14,163,1
2022-05-15,164,1
2022-05-16,165,1
2022-05-17,167,2
2022-05-18,167,0
2022-05-19,167,0
2022-05-20,168,1
2022-05-21,169,1
2022-05-22,170,1
2022-05-23,170,0
2022-05-24,170,0
2022-05-25,170,0
2022-05-26,170,0
2022-05-27,170,0
2022-05-28,174,4
2022-05-29,174,0
2022-05-30,174,0
2022-05-31,174,0
2022-06-01,175,1
2022-06-02,175,0
2022-06-03,175,0
2022-06-04,175,0
2022-06-05,175,0
2022-06-06,176,1
2022-06-07,177,1
2022-06-08,178,1
2022-06-09,178,0
2022-06-10,178,0
2022-06-11,178,0
2022-06-12,178,0
2022-06-13,178,0
2022-06-14,179,1
2022-06-15,179,0
2022-06-16,179,0
2022-06-17,180,1
2022-06-18,180,0
2022-06-19,181,1
2022-06-20,181,0
2022-06-21,181,0
2022-06-22,182,1
2022-06-23,183,1
2022-06-24,183,0
2022-06-25,184,1
2022-06-26,184,0
2022-06-27,184,0
2022-06-28,185,1
2022-06-29,185,0
2022-06-30,185,0
2022-07-01,186,1
2022-07-02,186,0
2022-07-03,187,1
2022-07-04,187,0
2022-07-05,187,0
2022-07-06,187,0
2022-07-07,187,0
2022-07-08,187,0
2022-07-09,187,0
2022-07-10,188,1
2022-07-11,188,0
2022-07-12,188,0
2022-07-13,188,0
2022-07-14,188,0
2022-07-15,188,0
2022-07-16,0,
2022-07-17,188,0
2022-07-18,188,0
2022-07-19,188,0
2022-07-20,188,0
2022-07-21,188,0
2022-07-22,188,0
2022-07-23,188,0
2022-07-24,188,0
2022-07-25,188,0
2022-07-26,189,1
2022-07-27,190,1
2022-07-28,190,0
2022-07-29,190,0
2022-07-30,190,0
2022-07-31,190,0
2022-08-01,190,0
2022-08-02,191,1
2022-08-03,191,0
2022-08-04,191,0
2022-08-05,191,0
2022-08-06,191,0
2022-08-07,191,0
2022-08-08,192,1
2022-08-09,193,1
2022-08-10,193,0
2022-08-11,193,0
2022-08-12,193,0
2022-08-13,193,0
2022-08-14,194,1
2022-08-15,195,1
2022-08-16,196,1
2022-08-17,196,0
2022-08-18,197,1
2022-08-19,197,0
2022-08-20,197,0
2022-08-21,197,0
2022-08-22,198,1
2022-08-23,198,0
2022-08-24,199,1
2022-08-25,202,3
2022-08-26,202,0
2022-08-27,202,0
2022-08-28,202,0
2022-08-29,203,1
2022-08-30,204,1
2022-08-31,204,0
2022-09-01,205,1
2022-09-02,205,0
2022-09-03,205,0
2022-09-04,206,1
2022-09-05,206,0
2022-09-06,207,1
2022-09-07,208,1
2022-09-08,210,2
2022-09-09,211,1
2022-09-10,212,1
2022-09-11,213,1
2022-09-12,213,0
2022-09-13,213,0
2022-09-14,215,2
2022-09-15,215,0
2022-09-16,216,1
2022-09-17,216,0
2022-09-18,217,1
2022-09-19,217,0
2022-09-20,217,0
2022-09-21,217,0
2022-09-22,218,1
2022-09-23,219,1
2022-09-24,220,1
2022-09-25,220,0
2022-09-26,224,4
2022-09-27,224,0
2022-09-28,224,0
2022-09-29,224,0
2022-09-30,225,1
2022-10-01,226,1
2022-10-02,227,1
2022-10-03,228,1
2022-10-04,228,0
2022-10-05,232,4
2022-10-06,232,0
2022-10-07,233,1
2022-10-08,234,1
2022-10-09,235,1
2022-10-10,235,0
2022-10-11,235,0
2022-10-12,235,0
2022-10-13,240,5
2022-10-14,240,0
2022-10-15,242,2
2022-10-16,242,0
2022-10-17,242,0
2022-10-18,242,0
2022-10-19,242,0
2022-10-20,243,1
2022-10-21,243,0
2022-10-22,243,0
2022-10-23,245,2
2022-10-24,245,0
2022-10-25,248,3
2022-10-26,248,0
2022-10-27,249,1
2022-10-28,251,2
2022-10-29,252,1
2022-10-30,252,0
2022-10-31,253,1
2022-11-01,257,4
2022-11-02,258,1
2022-11-03,258,0
2022-11-04,258,0
2022-11-05,260,2
2022-11-06,260,0
2022-11-07,260,0
2022-11-08,260,0
2022-11-09,260,0
2022-11-10,260,0
2022-11-11,261,1
2022-11-12,261,0
2022-11-13,261,0
2022-11-14,261,0
2022-11-15,261,0
2022-11-16,261,0
2022-11-17,261,0
2022-11-18,261,0
2022-11-19,261,0
2022-11-20,261,0
2022-11-21,261,0
2022-11-22,261,0
2022-11-23,261,0
2022-11-24,261,0
2022-11-25,261,0
2022-11-26,261,0
2022-11-27,261,0
2022-11-28,261,0
2022-11-29,261,0
2022-11-30,261,0
2022-12-01,261,0
2022-12-02,262,1
2022-12-03,263,1
2022-12-04,263,0
2022-12-05,264,1
2022-12-06,264,0
2022-12-07,264,0
2022-12-08,264,0
2022-12-09,264,0
2022-12-10,264,0
2022-12-11,264,0
2022-12-12,264,0
2022-12-13,264,0
2022-12-14,264,0
2022-12-15,264,0
2022-12-16,264,0
2022-12-17,264,0
2022-12-18,264,0
2022-12-19,266,2
2022-12-20,0,
2022-12-21,267,1
2022-12-22,267,0
2022-12-23,267,0
2022-12-24,267,0
2022-12-25,267,0
2022-12-26,267,0
2022-12-27,267,0
2022-12-28,267,0
2022-12-29,268,1
2022-12-30,268,0
2022-12-31,269,1
2023-01-01,0,
2023-01-02,269,0
2023-01-03,270,1
2023-01-04,270,0
2023-01-05,271,1
2023-01-06,272,1
2023-01-07,272,0
2023-01-08,272,0
2023-01-09,275,3
2023-01-10,275,0
2023-01-11,275,0
2023-01-12,276,1
2023-01-13,276,0
2023-01-14,276,0
2023-01-15,276,0
2023-01-16,276,0
2023-01-17,276,0
2023-01-18,276,0
2023-01-19,277,1
2023-01-20,277,0
2023-01-21,277,0
2023-01-22,277,0
2023-01-23,277,0
2023-01-24,281,4
2023-01-25,281,0
2023-01-26,282,1
2023-01-27,283,1
2023-01-28,284,1
2023-01-29,284,0
2023-01-30,284,0
2023-01-31,284,0
2023-02-01,284,0
2023-02-02,284,0
2023-02-03,284,0
2023-02-04,284,0
2023-02-05,284,0
2023-02-06,284,0
2023-02-07,284,0
2023-02-08,285,1
2023-02-09,285,0
2023-02-10,286,1
2023-02-11,286,0
2023-02-12,286,0
2023-02-13,286,0
2023-02-14,286,0
2023-02-15,286,0
2023-02-16,287,1
2023-02-17,287,0
2023-02-18,287,0
2023-02-19,287,0
2023-02-20,287,0
2023-02-21,287,0
2023-02-22,287,0
2023-02-23,287,0
2023-02-24,287,0
2023-02-25,288,1
2023-02-26,288,0
2023-02-27,288,0
2023-02-28,288,0
2023-03-01,288,0
2023-03-02,288,0
2023-03-03,289,1
2023-03-04,289,0
2023-03-05,289,0
2023-03-06,289,0
2023-03-07,289,0
2023-03-08,289,0
2023-03-09,289,0
2023-03-10,289,0
2023-03-11,289,0
2023-03-12,289,0
2023-03-13,289,0
2023-03-14,289,0
2023-03-15,289,0
2023-03-16,289,0
2023-03-17,290,1
2023-03-18,290,0
2023-03-19,290,0
2023-03-20,290,0
2023-03-21,290,0
2023-03-22,290,0
2023-03-23,290,0
2023-03-24,290,0
2023-03-25,291,1
2023-03-26,291,0
2023-03-27,291,0
2023-03-28,291,0
2023-03-29,291,0
2023-03-30,291,0
2023-03-31,291,0
2023-04-01,291,0
2023-04-02,291,0
2023-04-03,291,0
2023-04-04,291,0
